,ghazal_id,bayt_id,line,tashbih_cl,kenaye_cl,esteare_cl,jenas_cl,iham_cl,majaz_cl
1,1,1,الا یا ایها الساقی ادر کأسا و ناولها ** که عشق آسان نمود اول ولی افتاد مشکل‌ها,,,,,,
2,1,2,به بوی نافه‌ای کاخر صبا زان طره بگشاید ** ز تاب جعد مشکینش چه خون افتاد در دل‌ها,,خون در دل افتادن:به رنج و محنت افتادن,نافه:حلقه خوشبوی گیسوی معشوق,,بو:امید و آرزو، رایحه,
3,1,3,مرا در منزل جانان چه امن عیش چون هر دم ** جرس فریاد می‌دارد که بربندید محمل‌ها,,,منزل جانان:دنیا، جرس:ندای حرکت و کوچ از جهان,,,
4,1,4,به می سجاده رنگین کن گرت پیر مغان گوید ** که سالک بی‌خبر نبود ز راه و رسم منزل‌ها,,,,,,
5,1,5,شب تاریک و بیم موج و گردابی چنین هایل ** کجا دانند حال ما سبکباران ساحل‌ها,,,,,,
6,1,6,همه کارم ز خود کامی به بدنامی کشید آخر ** نهان کی ماند آن رازی کز او سازند محفل‌ها,,,,,,
7,1,7,حضوری گر همی‌خواهی از او غایب مشو حافظ ** متی ما تلق من تهوی دع الدنیا و اهملها,,,,,,
8,2,1,صلاح کار کجا و من خراب کجا ** ببین تفاوت ره کز کجاست تا به کجا,,,,,,
9,2,2,دلم ز صومعه بگرفت و خرقه سالوس ** کجاست دیر مغان و شراب ناب کجا,,,,,,
10,2,3,چه نسبت است به رندی صلاح و تقوا را ** سماع وعظ کجا نغمه رباب کجا,,,,,,
11,2,4,ز روی دوست دل دشمنان چه دریابد ** چراغ مرده کجا شمع آفتاب کجا,,,,,,
12,2,5,چو کحل بینش ما خاک آستان شماست ** کجا رویم بفرما از این جناب کجا,,,,,,
13,2,6,مبین به سیب زنخدان که چاه در راه است ** کجا همی‌روی ای دل بدین شتاب کجا,زنخدان:سیب,,,,,
14,2,7,بشد که یاد خوشش باد روزگار وصال ** خود آن کرشمه کجا رفت و آن عتاب کجا,,,,,,
15,2,8,قرار و خواب ز حافظ طمع مدار ای دوست ** قرار چیست صبوری کدام و خواب کجا,,,,,,
16,3,1,اگر آن ترک شیرازی به دست آرد دل ما را ** به خال هندویش بخشم سمرقند و بخارا را,,,,,,هندو:غلام سیاه
17,3,2,بده ساقی می باقی که در جنت نخواهی یافت ** کنار آب رکن آباد و گلگشت مصلا را,,,,ساقی-باقی، کنار-رکن,می باقی:می بقابخش,
18,3,3,فغان کاین لولیان شوخ شیرین کار شهرآشوب ** چنان بردند صبر از دل که ترکان خوان یغما را,,,لولی:معشوق,,,
19,3,4,ز عشق ناتمام ما جمال یار مستغنی است ** به آب و رنگ و خال و خط چه حاجت روی زیبا را,,آب و رنگ:رونق و جلای صورت,,,,
20,3,5,من از آن حسن روزافزون که یوسف داشت دانستم ** که عشق از پرده عصمت برون آرد زلیخا را,,از پرده برون آمدن:رسوا شدن,,,,
